Timestamp;co2;humidity;light;soilTemp1;soilTemp2;temperature
2022-10-21 00:07:32;277;47;0;21;22;25
2022-10-21 00:13:18;273;47;0;21;22;25
2022-10-21 00:16:11;276;47;0;21;22;25
2022-10-21 00:19:04;275;47;0;21;22;25
2022-10-21 00:24:50;271;47;0;21;22;24
2022-10-21 00:27:43;276;47;0;21;22;24
2022-10-21 00:33:29;275;48;0;21;22;24
2022-10-21 00:36:22;283;48;0;21;22;24
2022-10-21 00:39:15;283;48;0;21;21;24
2022-10-21 00:45:01;283;48;0;21;22;24
2022-10-21 00:47:54;275;48;0;21;22;24
2022-10-21 00:53:40;283;48;0;21;21;24
2022-10-21 00:56:33;285;48;0;21;21;24
2022-10-21 01:02:19;282;48;0;21;21;24
2022-10-21 01:05:12;282;48;0;21;21;24
2022-10-21 01:10:58;273;48;0;21;21;24
2022-10-21 01:13:51;272;48;0;21;21;24
2022-10-21 01:19:37;268;48;0;21;21;24
2022-10-21 01:22:30;263;49;0;21;21;24
2022-10-21 01:25:23;267;49;0;21;21;24
2022-10-21 01:31:09;267;48;0;21;21;24
2022-10-21 01:34:02;272;49;0;21;21;24
2022-10-21 01:39:48;268;49;0;21;21;24
2022-10-21 01:42:41;269;49;0;21;21;24
2022-10-21 01:48:27;272;49;0;21;21;24
2022-10-21 01:51:20;271;49;0;21;21;24
2022-10-21 01:57:06;272;49;0;21;21;24
2022-10-21 01:59:59;267;49;0;21;21;24
2022-10-21 02:05:45;265;49;0;21;21;24
2022-10-21 02:08:38;263;49;0;21;21;24
2022-10-21 02:14:24;267;49;0;21;21;24
2022-10-21 02:17:17;270;49;0;21;21;24
2022-10-21 02:23:03;273;49;0;21;21;24
2022-10-21 02:28:49;275;49;0;21;21;24
2022-10-21 02:31:42;269;49;0;21;21;24
2022-10-21 02:37:28;269;49;0;21;21;24
2022-10-21 02:43:14;269;49;0;21;21;24
2022-10-21 02:46:07;273;49;0;21;21;24
2022-10-21 02:51:53;268;49;0;21;21;24
2022-10-21 02:57:39;270;49;0;21;21;24
2022-10-21 03:00:32;272;49;0;21;21;24
2022-10-21 03:06:18;269;49;0;21;21;24
2022-10-21 03:09:11;270;49;0;21;21;24
2022-10-21 03:14:57;273;49;0;21;21;24
2022-10-21 03:17:50;273;49;0;21;21;24
2022-10-21 03:23:36;265;49;0;21;21;24
2022-10-21 03:26:29;277;49;0;21;21;24
2022-10-21 03:32:15;273;49;0;21;21;24
2022-10-21 03:38:01;267;49;0;21;21;24
2022-10-21 03:40:54;266;49;0;21;21;24
2022-10-21 03:46:40;266;50;0;21;21;24
2022-10-21 03:52:26;268;49;0;21;21;24
2022-10-21 03:55:19;264;49;0;21;21;24
2022-10-21 04:01:05;267;49;0;21;21;24
2022-10-21 04:06:51;268;49;0;21;21;24
2022-10-21 04:09:44;268;49;0;21;21;24
2022-10-21 04:15:30;265;49;0;21;21;24
2022-10-21 04:21:16;263;49;0;21;21;24
2022-10-21 10:15:55;444;49;151;21;21;25
2022-10-21 10:18:48;464;50;202;21;21;25
2022-10-21 10:21:41;476;50;471;21;21;24
2022-10-21 10:27:27;484;50;343;21;21;24
2022-10-21 10:30:20;490;50;262;21;21;24
2022-10-21 10:36:06;509;50;251;21;21;24
2022-10-21 10:38:59;529;50;340;21;21;24
2022-10-21 10:41:52;527;50;378;21;21;24
2022-10-21 10:47:38;540;50;321;21;21;24
2022-10-21 10:50:31;579;50;356;21;22;24
2022-10-21 10:56:17;612;51;334;21;21;25
2022-10-21 10:59:10;621;50;258;21;22;25
2022-10-21 11:04:56;618;49;268;21;21;25
2022-10-21 11:07:49;623;49;251;21;22;25
2022-10-21 11:13:35;631;48;342;21;22;25
2022-10-21 11:16:28;636;49;329;21;22;25
2022-10-21 11:22:14;637;49;239;21;22;25
2022-10-21 11:25:07;653;49;238;21;22;25
2022-10-21 11:30:53;665;49;239;21;22;25
2022-10-21 11:33:46;674;49;270;21;22;25
2022-10-21 11:39:32;673;48;391;21;22;26
2022-10-21 11:42:25;674;48;240;21;22;26
2022-10-21 11:48:11;662;48;178;21;22;26
2022-10-21 11:51:04;660;48;471;21;22;26
2022-10-21 11:56:50;663;48;471;21;22;26
2022-10-21 11:59:43;658;47;471;21;22;26
2022-10-21 12:05:29;676;47;421;21;22;26
2022-10-21 12:08:22;680;47;257;21;22;26
2022-10-21 12:14:08;680;48;214;21;22;26
2022-10-21 12:19:54;673;47;360;21;22;26
2022-10-21 12:22:47;684;47;253;21;22;26
2022-10-21 12:28:33;697;48;183;21;22;26
2022-10-21 12:34:19;694;47;93;21;22;26
2022-10-21 12:40:05;694;48;79;21;22;26
2022-10-21 12:42:58;683;48;37;21;22;26
2022-10-21 12:48:44;685;48;32;21;22;26
2022-10-21 12:54:30;680;48;56;21;22;26
2022-10-21 12:57:23;685;48;47;21;22;26